Year,Film,Winner
2000,Almost Famous,FALSE
2000,Quills,FALSE
2000,Wonder Boys,FALSE
2000,You Can Count on Me,FALSE
2001,A Beautiful Mind,TRUE
2001,Gosford Park,FALSE
2001,The Man Who Wasn't There,FALSE
2001,Memento,FALSE
2001,Mulholland Drive,FALSE
2002,About Schmidt,TRUE
2002,Adaptation.,FALSE
2002,Chicago,FALSE
2002,Far from Heaven,FALSE
2002,The Hours,FALSE
2003,Lost in Translation,TRUE
2003,Cold Mountain,FALSE
2003,In America,FALSE
2003,Love Actually,FALSE
2003,Mystic River,FALSE
2004,Sideways,TRUE
2004,The Aviator,FALSE
2004,Closer,FALSE
2004,Eternal Sunshine of the Spotless Mind,FALSE
2004,Finding Neverland,FALSE
2005,Brokeback Mountain,TRUE
2005,Crash,FALSE
2005,"Good Night, and Good Luck.",FALSE
2005,Match Point,FALSE
2005,Munich,FALSE
2006,The Queen,TRUE
2006,Babel,FALSE
2006,The Departed,FALSE
2006,Little Children,FALSE
2006,Notes on a Scandal,FALSE
2007,No Country for Old Men,TRUE
2007,Atonement,FALSE
2007,Charlie Wilson's War,FALSE
2007,The Diving Bell and the Butterfly (Le scaphandre et le papillon),FALSE
2007,Juno,FALSE
2008,Slumdog Millionaire,TRUE
2008,The Curious Case of Benjamin Button,FALSE
2008,Doubt,FALSE
2008,Frost/Nixon,FALSE
2008,The Reader,FALSE
2009,Up in the Air,TRUE
2009,District 9,FALSE
2009,The Hurt Locker,FALSE
2009,Inglourious Basterds,FALSE
2009,It's Complicated,FALSE
2010,The Social Network,TRUE
2010,127 Hours,FALSE
2010,Inception,FALSE
2010,The Kids Are All Right,FALSE
2010,The King's Speech,FALSE
2011,Midnight in Paris,TRUE
2011,The Artist,FALSE
2011,The Descendants,FALSE
2011,The Ides of March,FALSE
2011,Moneyball,FALSE
2012,Django Unchained,TRUE
2012,Argo,FALSE
2012,Lincoln,FALSE
2012,Silver Linings Playbook,FALSE
2012,Zero Dark Thirty,FALSE
2013,Her,TRUE
2013,12 Years a Slave,FALSE
2013,American Hustle,FALSE
2013,Nebraska,FALSE
2013,Philomena,FALSE
2014,Birdman,TRUE
2014,Boyhood,FALSE
2014,Gone Girl,FALSE
2014,The Grand Budapest Hotel,FALSE
2014,The Imitation Game,FALSE
2015,Steve Jobs,TRUE
2015,The Big Short,FALSE
2015,The Hateful Eight,FALSE
2015,Room,FALSE
2015,Spotlight,FALSE
2016,La La Land,TRUE
2016,Hell or High Water,FALSE
2016,Manchester by the Sea,FALSE
2016,Moonlight,FALSE
2016,Nocturnal Animals,FALSE
2017,"Three Billboards Outside Ebbing, Missouri",TRUE
2017,Lady Bird,FALSE
2017,Molly's Game,FALSE
2017,The Post,FALSE
2017,The Shape of Water,FALSE
2018,Green Book,TRUE
2018,The Favourite,FALSE
2018,If Beale Street Could Talk,FALSE
2018,Roma,FALSE
2018,Vice,FALSE
2019,Once Upon a Time in Hollywood,TRUE
2019,The Irishman,FALSE
2019,Marriage Story,FALSE
2019,Parasite,FALSE
2019,The Two Popes,FALSE
2020,The Trial of the Chicago 7,TRUE
2020,Promising Young Woman,FALSE
2020,Mank,FALSE
2020,The Father,FALSE
2020,Nomadland,FALSE
2021,Belfast,TRUE
2021,Licorice Pizza,FALSE
2021,The Power of the Dog,FALSE
2021,Don't Look Up,FALSE
2021,Being the Ricardos,FALSE
2022,The Banshees of Inisherin,TRUE
2022,Tár,FALSE
2022,Everything Everywhere All at Once,FALSE
2022,Women Talking,FALSE
2022,The Fabelmans,FALSE
2023,Anatomy of a Fall,TRUE
2023,Barbie,FALSE
2023,Oppenheimer,FALSE
2023,Killers of the Flower Moon,FALSE
2023,Past Lives,FALSE
2023,Poor Things,FALSE
2024,Conclave,TRUE
2024,Emilia Pérez,FALSE
2024,Anora,FALSE
2024,The Brutalist,FALSE
2024,A Real Pain,FALSE
2024,The Substance,FALSE
